ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains,bayesaverage
9194,Personality,1995,3,8,30,0,78,6.17,12524,1.14,143,Unknown,Unknown,5.52767
42256,Cold War Battles 2: Pentomic Wurzburg & Kabul '79,2010,1,2,240,12,45,6.69,12525,3.33,254,"Dice Rolling, Hexagon Grid",Wargames,5.52094
194231,Poker Assault,2016,2,4,25,10,67,6.27,12526,2.0,287,Unknown,Unknown,5.51345
201917,Mech Command RTS,2018,2,6,80,14,44,7.08,12527,2.33,131,"Action Points, Area Movement, Line of Sight, Modular Board, Pick-up and Deliver, Real-Time, Simultaneous Action Selection, Variable Player Powers",Unknown,5.51576
146747,TF22: RELOAD!,2013,2,4,30,14,36,6.84,12528,2.25,50,"Card Drafting, Hand Management",Unknown,5.51627
232800,Lancelot,2017,2,4,90,14,137,6.17,12529,2.75,316,"Point to Point Movement, Set Collection",Unknown,5.52677
19634,Crossword Pyramids,2004,2,4,35,8,51,6.4,12530,2.13,119,Unknown,Unknown,5.5172
241488,Where's Mr. Wolf?,2018,1,4,10,4,60,6.37,12531,1.0,162,Unknown,Unknown,5.5404
31067,Luftwaffe: Aerial Combat - Germany 1943-45,2007,2,2,240,12,54,6.6,12532,2.91,247,"Chit-Pull System, Dice Rolling, Hexagon Grid, Secret Unit Deployment",Wargames,5.52161
6036,Tet '68,1992,2,2,180,12,67,6.32,12533,3.0,460,Hexagon Grid,Wargames,5.52472
266102,2491 Planetship,2020,2,5,90,14,33,7.13,12534,3.0,95,"Deck Bag and Pool Building, Hand Management, Modular Board, Secret Unit Deployment",Unknown,5.53937
465,Zankapfel,1993,3,6,60,12,62,6.29,12535,2.0,103,"Commodity Speculation, Simultaneous Action Selection",Unknown,5.52196
286537,Burgle Bros 2: The Casino Capers,2021,1,4,70,10,31,7.49,12536,2.5,315,"Action Points, Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Solo / Solitaire Game, Variable Player Powers",Unknown,6.31374
316857,Plantopia: The Card Game,2020,2,5,30,10,46,6.85,12537,2.0,145,"Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",Unknown,5.6825
23999,Tie One On,2006,3,6,30,18,43,6.65,12538,1.2,93,Team-Based Game,Unknown,5.5256
34890,"Assault on Sevastopol: Von Manstein in the Crimea, 1942",2008,2,2,45,12,40,6.78,12539,1.63,143,Hexagon Grid,Wargames,5.52201
5162,Chinese Chess,1981,2,2,20,8,92,6.11,12540,2.75,291,Grid Movement,Abstract Games,5.52058
17448,Rocketmen: Axis of Evil,2005,2,4,30,8,170,5.89,12541,1.97,667,Variable Player Powers,Customizable Games,5.51982
127433,Dahschur: Die Rote Pyramide,2012,2,4,90,10,59,6.86,12542,2.6,135,"Commodity Speculation, Hand Management, Modular Board, Pick-up and Deliver, Tile Placement, Trading, Worker Placement",Strategy Games,5.52259
17146,Rommel at Bay,1984,2,2,90,12,39,6.86,12543,3.25,146,"Dice Rolling, Hexagon Grid",Wargames,5.5244
200957,NecronomiCORP,2016,1,6,120,12,64,6.76,12544,2.0,161,"Cooperative Game, Dice Rolling, Push Your Luck, Simultaneous Action Selection",Unknown,5.51759
182198,Superfight: The Anime Deck,2015,3,10,30,12,68,6.57,12545,1.0,345,"Storytelling, Variable Player Powers, Voting",Unknown,5.51303
8743,"Saipan: Conquest of the Marianas, June 1944",1975,2,2,90,12,42,6.65,12546,2.27,116,"Hexagon Grid, Simulation, Zone of Control",Wargames,5.52772
2031,Starship Command,1991,2,8,45,0,41,6.93,12547,2.67,95,Simultaneous Action Selection,Unknown,5.51981
284617,King Thief Minister,2019,3,6,30,7,41,7.56,12548,1.75,75,"Memory, Role Playing, Take That, Variable Player Powers",Unknown,5.52781
